Date,Host,Service,Content
"2026-04-22T00:50:36.712Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""cutcharge* AND salesLocation_s:62395 AND shipLocation_s:12702 AND customerAccount_s:AC0197-0384 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Theresa Mills"", ""refNum_s"": """"}"
"2026-04-21T23:24:54.237Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""674088* AND salesLocation_s:60682 AND shipLocation_s:15408 AND customerAccount_s:AC0197-8872 AND dcLocation_s:7305 AND businessUnit_s:WESCO"", ""userName_s"": ""Aidee Gonzalez"", ""refNum_s"": """"}"
"2026-04-21T22:55:25.989Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""APC36 AND shipLocation_s:13417 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""219780"", ""refNum_s"": ""628580""}"
"2026-04-21T22:54:20.991Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""ofp AND shipLocation_s:15009 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""218875"", ""refNum_s"": ""628579""}"
"2026-04-21T22:29:26.935Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""AX-RBSN AND shipLocation_s:15009 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""334224"", ""refNum_s"": ""628568""}"
"2026-04-21T22:06:21.495Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""5501UE* AND salesLocation_s:61961 AND shipLocation_s:16011 AND customerAccount_s:AC0161-0766 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Marlon Doppe"", ""refNum_s"": """"}"
"2026-04-21T21:51:26.799Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""JR-ORT-2 AND shipLocation_s:15414 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""216112"", ""refNum_s"": ""628540""}"
"2026-04-21T21:36:38.846Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""Q41‐RECU* AND salesLocation_s:62395 AND shipLocation_s:12702 AND customerAccount_s:AC0162-7024 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Parker Mitchell"", ""refNum_s"": """"}"
"2026-04-21T21:29:55.325Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""M58280 AND shipLocation_s:14611 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""307070"", ""refNum_s"": ""628517""}"
"2026-04-21T21:25:43.578Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""766206675* AND salesLocation_s:62747 AND shipLocation_s:11411 AND customerAccount_s:AC0159-1043 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Thomas Cousins"", ""refNum_s"": """"}"
"2026-04-21T21:14:28.942Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""FHPBKR12LC3M AND shipLocation_s:12114 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""337344"", ""refNum_s"": ""617738""}"
"2026-04-21T21:07:14.431Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""t88-33190-a3 AND shipLocation_s:12908 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""321602"", ""refNum_s"": ""627888""}"
"2026-04-21T20:38:21.071Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""nk2 AND shipLocation_s:15642 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""208850"", ""refNum_s"": ""628353""}"
"2026-04-21T20:32:21.180Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""cch-cs12-a9-p00re AND shipLocation_s:11726 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""327898"", ""refNum_s"": ""628415""}"
"2026-04-21T20:31:22.446Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""11408-001* AND salesLocation_s:62395 AND shipLocation_s:12702 AND customerAccount_s:AC0159-6393 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Chris Seeman"", ""refNum_s"": """"}"
"2026-04-21T20:30:20.990Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""OR-HDJ6-36 AND shipLocation_s:13603 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""236163"", ""refNum_s"": ""628425""}"
"2026-04-21T20:26:11.543Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""630011HD* AND salesLocation_s:61138 AND shipLocation_s:11204 AND customerAccount_s:AC0197-7845 AND dcLocation_s:7302 AND businessUnit_s:WESCO"", ""userName_s"": ""Karen Perrier"", ""refNum_s"": """"}"
"2026-04-21T20:25:06.204Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""DSTR-3* AND salesLocation_s:62395 AND shipLocation_s:12702 AND customerAccount_s:AC0159-6393 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Chris Seeman"", ""refNum_s"": """"}"
"2026-04-21T20:20:53.319Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""kit-71101a-b* AND salesLocation_s:62401 AND shipLocation_s:12601 AND customerAccount_s:AC0197-1515 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Aryan Javan"", ""refNum_s"": """"}"
"2026-04-21T20:20:26.972Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""cs44p-7w AND shipLocation_s:15819 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""237306"", ""refNum_s"": ""628288""}"
"2026-04-21T20:06:21.742Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""CU42E0 AND shipLocation_s:13417 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""219780"", ""refNum_s"": ""628382""}"
"2026-04-21T19:42:39.540Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""61110-BL6 AND shipLocation_s:16011 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""333371"", ""refNum_s"": ""628333""}"
"2026-04-21T19:37:59.303Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""ax101066* AND salesLocation_s:61960 AND shipLocation_s:16043 AND customerAccount_s:AC0159-2475 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Alton Balentine"", ""refNum_s"": """"}"
"2026-04-21T19:31:41.381Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""6110G AND shipLocation_s:15819 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""237306"", ""refNum_s"": ""628288""}"
"2026-04-21T19:27:24.694Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""KSFP6-88 AND shipLocation_s:11726 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""327898"", ""refNum_s"": ""628296""}"
"2026-04-21T19:21:54.810Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""*:* AND transPartOrFilter:(transactablePart_s:BZZ632A23 OR transactablePart_s:BE5666YY3) AND salesLocation_s:60682 AND shipLocation_s:15408 AND dcLocation_s:7305 AND customerAccount_s:AC0191-1721 AND businessUnit_s:WESCO"", ""userName_s"": ""Brian Wortmann"", ""refNum_s"": ""QU100026440""}"
"2026-04-21T19:21:14.204Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""006EU AND shipLocation_s:11102 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""206552"", ""refNum_s"": ""628287""}"
"2026-04-21T18:52:32.118Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""760249130 AND shipLocation_s:11305 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""337844"", ""refNum_s"": ""627867""}"
"2026-04-21T18:51:37.420Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""UN874043114_b AND shipLocation_s:16043 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""227199"", ""refNum_s"": ""627986""}"
"2026-04-21T18:50:46.261Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""cch-01u* AND salesLocation_s:62395 AND shipLocation_s:12702 AND customerAccount_s:AC0158-2717 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Chris Seeman"", ""refNum_s"": """"}"
"2026-04-21T18:46:04.306Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""cpp-uddm-m-2u- AND shipLocation_s:11411 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""302766"", ""refNum_s"": ""628118""}"
"2026-04-21T18:36:39.142Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""11143780* AND salesLocation_s:62745 AND shipLocation_s:15009 AND customerAccount_s:AC0158-8179 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Kyle Celli"", ""refNum_s"": """"}"
"2026-04-21T18:35:23.486Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""10gx53* AND businessUnit_s:Accu-Tech AND shipLocation_s:12114 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""}"
"2026-04-21T18:33:35.755Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""2413_002A1000 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""324687"", ""refNum_s"": """"}"
"2026-04-21T18:20:15.715Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""6ES71386BA010BA0* AND salesLocation_s:60627 AND shipLocation_s:14507 AND customerAccount_s:AC0157-4024 AND dcLocation_s:7303 AND businessUnit_s:WESCO"", ""userName_s"": ""Meaghan Reidy"", ""refNum_s"": """"}"
"2026-04-21T18:13:50.127Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""ETST6610* AND salesLocation_s:62401 AND shipLocation_s:12601 AND customerAccount_s:AC0158-4062 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Leesette Bengar"", ""refNum_s"": """"}"
"2026-04-21T18:11:29.816Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""rg65 AND shipLocation_s:14611 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""339347"", ""refNum_s"": ""627896""}"
"2026-04-21T18:09:04.027Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""11142630 AND shipLocation_s:12304 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""327282"", ""refNum_s"": ""620275""}"
"2026-04-21T18:08:41.627Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""2412 AND shipLocation_s:14611 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""339347"", ""refNum_s"": ""627896""}"
"2026-04-21T18:08:40.798Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""241 AND shipLocation_s:14611 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""339347"", ""refNum_s"": ""627896""}"
"2026-04-21T18:00:59.643Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""P018-006 AND shipLocation_s:16011 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""333371"", ""refNum_s"": ""628084""}"
"2026-04-21T17:55:42.281Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""FRM-125 AND shipLocation_s:12702 AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""628100""}"
"2026-04-21T17:52:59.162Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""048euf-t4101d20 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""216112"", ""refNum_s"": """"}"
"2026-04-21T17:43:17.855Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""PUP6004BU-UY AND shipLocation_s:15009 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""231421"", ""refNum_s"": ""628072""}"
"2026-04-21T17:22:15.579Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""JUMPER KIT RACK GROUND RETROFIT AND businessUnit_s:Accu-Tech"", ""userName_s"": ""328841"", ""refNum_s"": """"}"
"2026-04-21T17:16:59.444Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""YC2L12* AND salesLocation_s:62473 AND shipLocation_s:13429 AND customerAccount_s:AC0159-2183 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Davis Puckey"", ""refNum_s"": """"}"
"2026-04-21T17:09:58.907Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""RCB1065S-6U AND businessUnit_s:Accu-Tech"", ""userName_s"": ""328841"", ""refNum_s"": """"}"
"2026-04-21T17:03:30.527Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""cat6_cmp_orange_berk AND shipLocation_s:11102 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""238320"", ""refNum_s"": ""623784""}"
"2026-04-21T17:00:35.733Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""12850-70 AND shipLocation_s:12702 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""328476"", ""refNum_s"": ""628019""}"
"2026-04-21T16:33:27.264Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""110blk* AND businessUnit_s:Accu-Tech AND shipLocation_s:12114 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""}"
"2026-04-21T16:32:58.147Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""FEWLCLC42-JXF015* AND businessUnit_s:Accu-Tech AND shipLocation_s:12702 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""}"
"2026-04-21T16:32:57.102Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""M AND shipLocation_s:16011 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""212834"", ""refNum_s"": ""624644""}"
"2026-04-21T16:23:35.196Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""PWR-C14C15-15A-6FT-BLK AND shipLocation_s:11305 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""313507"", ""refNum_s"": ""627951""}"
"2026-04-21T16:15:04.446Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""A62-V44-20 AND shipLocation_s:11411 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""210666"", ""refNum_s"": ""627928""}"
"2026-04-21T15:50:25.917Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""CBS-BGR* AND salesLocation_s:69609 AND shipLocation_s:12702 AND customerAccount_s:AC0162-5178 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Ryan Punsalan"", ""refNum_s"": """"}"
"2026-04-21T15:46:28.373Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""1-0e* AND businessUnit_s:Accu-Tech AND shipLocation_s:14506 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""}"
"2026-04-21T15:42:42.942Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""006T88-35190-YL* AND salesLocation_s:62395 AND shipLocation_s:12702 AND customerAccount_s:AC0159-6393 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Chris Seeman"", ""refNum_s"": """"}"
"2026-04-21T15:40:31.692Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""Black_cat_6_shield_CMP_cable_100 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""211557"", ""refNum_s"": """"}"
"2026-04-21T15:36:02.220Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""T00016640* AND salesLocation_s:60682 AND shipLocation_s:15408 AND customerAccount_s:IC1002-0000 AND dcLocation_s:7305 AND businessUnit_s:WESCO"", ""userName_s"": ""Natalia Collins"", ""refNum_s"": """"}"
"2026-04-21T15:32:56.598Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""4G2404 AND shipLocation_s:14611 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""240568"", ""refNum_s"": ""627689""}"
"2026-04-21T15:32:21.800Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""1-1375055-3* AND businessUnit_s:Accu-Tech AND shipLocation_s:15416 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""}"
"2026-04-21T15:31:06.949Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""1-1375055-3* AND businessUnit_s:Accu-Tech AND shipLocation_s:15416 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""}"
"2026-04-21T15:30:50.840Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""1-1375055-3* AND businessUnit_s:Accu-Tech AND shipLocation_s:15416 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""}"
"2026-04-21T15:29:59.610Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""1-1375055-3* AND businessUnit_s:Accu-Tech AND shipLocation_s:15416 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""}"
"2026-04-21T15:27:50.470Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""1-1375055-3* AND businessUnit_s:Accu-Tech AND shipLocation_s:15416 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""}"
"2026-04-21T15:27:38.894Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""1-1375055-3* AND businessUnit_s:Accu-Tech AND shipLocation_s:15416 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""}"
"2026-04-21T15:06:18.007Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""5"", ""q"": ""FRMMAT AND shipLocation_s:16011 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""335361"", ""refNum_s"": ""627293""}"
"2026-04-21T14:55:50.620Z","ip-10-236-38-105","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""6910G-U48* AND businessUnit_s:Accu-Tech AND shipLocation_s:14802 AND advancedPartSearch:Y AND businessUnit_s:Accu-Tech"", ""userName_s"": """", ""refNum_s"": ""100012447""}"
"2026-04-21T14:41:10.348Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""CCH-CP24-A9* AND salesLocation_s:62400 AND shipLocation_s:14112 AND customerAccount_s:AC0197-2764 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Ewan Pessoa"", ""refNum_s"": """"}"
"2026-04-21T14:36:37.301Z","ip-10-236-36-220","wesco-sapi-lucidworks-dr","queryParams to partSearch: { ""start"": ""0"", ""rows"": ""100"", ""q"": ""FDROPSHIP* AND salesLocation_s:66083 AND shipLocation_s:11411 AND customerAccount_s:AC0158-3168 AND businessUnit_s:Accu-Tech"", ""userName_s"": ""Tony Goff"", ""refNum_s"": """"}"
